13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:27 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:28 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:29 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:29 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:29 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:29 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:30 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:30 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:30 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:30 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:30 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:31 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:31 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:31 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:31 [Thread-53] INFO  at.bookworm.crawler.DefaultFetchStrategy - com.sun.syndication.io.ParsingFeedException: Invalid XML: Error on line 1: Content is not allowed in prolog.
13:54:31 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:31 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [Thread-55] INFO  at.bookworm.crawler.DefaultFetchStrategy - com.sun.syndication.io.ParsingFeedException: Invalid XML: Error on line 63: The element type "description" must be terminated by the matching end-tag "</description>".
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:32 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:33 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:33 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:33 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:33 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:33 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
